P10292 2024-06-17 11:31:38,258 runWISDEM:run_wisdem:99 INFO:Started
P10292 2024-06-17 11:36:27,884 runWISDEM:run_wisdem:99 INFO:Started
P10292 2024-06-17 11:36:28,162 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P10292 2024-06-17 11:36:28,167 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P10292 2024-06-17 11:36:28,173 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P10292 2024-06-17 11:36:28,178 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P10292 2024-06-17 11:36:28,183 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P10292 2024-06-17 11:36:28,187 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P10292 2024-06-17 11:36:28,191 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P10292 2024-06-17 11:36:28,196 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P10292 2024-06-17 11:36:28,199 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P10292 2024-06-17 11:36:28,203 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P10292 2024-06-17 11:36:28,206 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P10292 2024-06-17 11:36:28,210 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P10292 2024-06-17 11:36:28,212 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P10292 2024-06-17 11:36:28,215 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P10292 2024-06-17 11:36:28,219 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P10292 2024-06-17 11:36:28,222 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P10292 2024-06-17 11:36:28,225 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P10292 2024-06-17 11:36:28,228 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P10292 2024-06-17 11:36:28,231 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P10292 2024-06-17 11:36:28,234 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P10292 2024-06-17 11:36:28,237 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P10292 2024-06-17 11:36:28,240 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P10292 2024-06-17 11:36:28,243 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P10292 2024-06-17 11:36:28,247 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P10292 2024-06-17 11:36:28,250 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P10292 2024-06-17 11:36:28,253 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P10292 2024-06-17 11:36:28,258 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P10292 2024-06-17 11:36:32,217 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P10292 2024-06-17 11:36:32,223 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P10292 2024-06-17 11:36:32,228 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P10292 2024-06-17 11:36:32,234 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P10292 2024-06-17 11:36:32,240 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
