P20458 2024-06-17 17:31:43,193 runWISDEM:run_wisdem:99 INFO:Started
P20458 2024-06-17 17:31:57,219 runWISDEM:run_wisdem:99 INFO:Started
P20458 2024-06-17 17:31:57,463 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P20458 2024-06-17 17:31:57,468 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P20458 2024-06-17 17:31:57,472 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P20458 2024-06-17 17:31:57,477 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P20458 2024-06-17 17:31:57,482 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P20458 2024-06-17 17:31:57,486 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P20458 2024-06-17 17:31:57,489 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P20458 2024-06-17 17:31:57,492 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P20458 2024-06-17 17:31:57,496 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P20458 2024-06-17 17:31:57,499 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P20458 2024-06-17 17:31:57,502 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P20458 2024-06-17 17:31:57,505 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P20458 2024-06-17 17:31:57,508 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P20458 2024-06-17 17:31:57,511 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P20458 2024-06-17 17:31:57,514 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P20458 2024-06-17 17:31:57,516 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P20458 2024-06-17 17:31:57,519 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P20458 2024-06-17 17:31:57,522 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P20458 2024-06-17 17:31:57,525 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P20458 2024-06-17 17:31:57,528 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P20458 2024-06-17 17:31:57,531 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P20458 2024-06-17 17:31:57,534 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P20458 2024-06-17 17:31:57,537 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P20458 2024-06-17 17:31:57,540 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P20458 2024-06-17 17:31:57,543 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P20458 2024-06-17 17:31:57,547 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P20458 2024-06-17 17:31:57,551 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P20458 2024-06-17 17:31:57,555 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P20458 2024-06-17 17:31:57,559 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P20458 2024-06-17 17:32:01,393 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P20458 2024-06-17 17:32:01,398 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P20458 2024-06-17 17:32:01,403 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P20458 2024-06-17 17:32:01,407 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P20458 2024-06-17 17:32:01,412 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P20458 2024-06-17 17:32:01,416 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P20458 2024-06-17 17:32:01,419 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P20458 2024-06-17 17:32:01,423 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P20458 2024-06-17 17:32:01,426 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P20458 2024-06-17 17:32:01,429 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P20458 2024-06-17 17:32:01,432 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P20458 2024-06-17 17:32:01,435 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P20458 2024-06-17 17:32:01,438 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P20458 2024-06-17 17:32:01,441 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P20458 2024-06-17 17:32:01,444 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P20458 2024-06-17 17:32:01,447 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P20458 2024-06-17 17:32:01,450 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P20458 2024-06-17 17:32:01,452 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P20458 2024-06-17 17:32:01,455 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P20458 2024-06-17 17:32:01,458 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P20458 2024-06-17 17:32:01,461 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P20458 2024-06-17 17:32:01,464 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P20458 2024-06-17 17:32:01,467 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P20458 2024-06-17 17:32:01,470 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P20458 2024-06-17 17:32:01,473 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P20458 2024-06-17 17:32:01,477 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P20458 2024-06-17 17:32:01,482 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P20458 2024-06-17 17:32:01,486 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P20458 2024-06-17 17:32:01,490 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P20458 2024-06-17 17:32:04,953 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P20458 2024-06-17 17:32:04,958 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P20458 2024-06-17 17:32:04,963 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P20458 2024-06-17 17:32:04,968 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P20458 2024-06-17 17:32:04,973 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P20458 2024-06-17 17:32:04,976 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P20458 2024-06-17 17:32:04,979 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P20458 2024-06-17 17:32:04,983 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P20458 2024-06-17 17:32:04,986 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P20458 2024-06-17 17:32:04,989 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
