P10292 2024-06-17 11:37:13,703 runWISDEM:run_wisdem:99 INFO:Started
P10292 2024-06-17 11:39:15,027 runWISDEM:run_wisdem:99 INFO:Started
P10292 2024-06-17 11:39:15,372 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P10292 2024-06-17 11:39:15,377 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P10292 2024-06-17 11:39:15,383 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P10292 2024-06-17 11:39:15,388 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P10292 2024-06-17 11:39:15,394 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P10292 2024-06-17 11:39:15,398 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P10292 2024-06-17 11:39:15,401 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P10292 2024-06-17 11:39:15,406 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P10292 2024-06-17 11:39:15,409 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P10292 2024-06-17 11:39:15,413 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P10292 2024-06-17 11:39:15,417 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P10292 2024-06-17 11:39:15,420 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P10292 2024-06-17 11:39:15,423 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P10292 2024-06-17 11:39:15,426 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P10292 2024-06-17 11:39:15,429 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P10292 2024-06-17 11:39:15,432 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P10292 2024-06-17 11:39:15,435 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P10292 2024-06-17 11:39:15,438 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P10292 2024-06-17 11:39:15,441 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P10292 2024-06-17 11:39:15,445 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P10292 2024-06-17 11:39:15,448 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P10292 2024-06-17 11:39:15,451 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P10292 2024-06-17 11:39:15,454 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P10292 2024-06-17 11:39:15,458 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P10292 2024-06-17 11:39:15,461 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P10292 2024-06-17 11:39:15,464 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P10292 2024-06-17 11:39:15,469 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P10292 2024-06-17 11:39:19,440 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P10292 2024-06-17 11:39:19,445 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P10292 2024-06-17 11:39:19,450 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P10292 2024-06-17 11:39:19,455 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P10292 2024-06-17 11:39:19,460 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P10292 2024-06-17 11:39:19,464 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P10292 2024-06-17 11:39:19,468 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P10292 2024-06-17 11:39:19,471 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P10292 2024-06-17 11:39:19,475 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P10292 2024-06-17 11:39:19,479 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P10292 2024-06-17 11:39:19,482 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P10292 2024-06-17 11:39:19,485 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P10292 2024-06-17 11:39:19,489 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P10292 2024-06-17 11:39:19,492 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P10292 2024-06-17 11:39:19,495 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P10292 2024-06-17 11:39:19,498 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P10292 2024-06-17 11:39:19,501 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
