P19889 2024-06-17 17:20:26,896 runWISDEM:run_wisdem:99 INFO:Started
P19889 2024-06-17 17:20:36,628 runWISDEM:run_wisdem:99 INFO:Started
P19889 2024-06-17 17:20:36,902 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P19889 2024-06-17 17:20:36,907 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P19889 2024-06-17 17:20:36,911 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P19889 2024-06-17 17:20:36,916 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P19889 2024-06-17 17:20:36,921 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P19889 2024-06-17 17:20:36,924 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P19889 2024-06-17 17:20:36,927 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P19889 2024-06-17 17:20:36,931 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P19889 2024-06-17 17:20:36,934 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P19889 2024-06-17 17:20:36,937 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P19889 2024-06-17 17:20:36,940 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P19889 2024-06-17 17:20:36,943 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P19889 2024-06-17 17:20:36,946 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P19889 2024-06-17 17:20:36,948 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P19889 2024-06-17 17:20:36,951 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P19889 2024-06-17 17:20:36,954 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P19889 2024-06-17 17:20:36,957 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P19889 2024-06-17 17:20:36,960 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
