P41362 2024-05-29 11:01:17,706 runWISDEM:run_wisdem:99 INFO:Started
P41362 2024-05-29 11:01:18,029 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P41362 2024-05-29 11:01:18,044 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P41362 2024-05-29 11:01:18,058 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P41362 2024-05-29 11:01:18,071 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P41362 2024-05-29 11:01:18,084 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P41362 2024-05-29 11:01:18,094 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P41362 2024-05-29 11:01:18,106 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P41362 2024-05-29 11:01:18,119 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P41362 2024-05-29 11:01:18,132 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P41362 2024-05-29 11:01:18,144 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P41362 2024-05-29 11:01:18,155 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P41362 2024-05-29 11:01:18,167 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P41362 2024-05-29 11:01:18,179 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P41362 2024-05-29 11:01:18,190 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P41362 2024-05-29 11:01:18,201 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P41362 2024-05-29 11:01:18,213 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P41362 2024-05-29 11:01:18,225 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P41362 2024-05-29 11:01:18,236 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P41362 2024-05-29 11:01:18,248 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P41362 2024-05-29 11:01:18,260 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P41362 2024-05-29 11:01:18,272 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P41362 2024-05-29 11:01:18,284 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P41362 2024-05-29 11:01:18,296 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P41362 2024-05-29 11:01:18,307 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P41362 2024-05-29 11:01:18,319 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P41362 2024-05-29 11:01:18,331 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P41362 2024-05-29 11:01:18,343 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P41362 2024-05-29 11:01:22,454 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P41362 2024-05-29 11:01:22,469 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P41362 2024-05-29 11:01:22,483 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P41362 2024-05-29 11:01:22,496 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P41362 2024-05-29 11:01:22,510 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P41362 2024-05-29 11:01:22,520 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P41362 2024-05-29 11:01:22,532 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P41362 2024-05-29 11:01:22,545 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P41362 2024-05-29 11:01:22,558 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P41362 2024-05-29 11:01:22,570 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P41362 2024-05-29 11:01:22,582 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P41362 2024-05-29 11:01:22,594 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P41362 2024-05-29 11:01:22,606 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P41362 2024-05-29 11:01:22,616 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P41362 2024-05-29 11:01:22,627 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P41362 2024-05-29 11:01:22,639 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P41362 2024-05-29 11:01:22,651 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P41362 2024-05-29 11:01:22,663 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P41362 2024-05-29 11:01:22,675 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P41362 2024-05-29 11:01:22,686 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P41362 2024-05-29 11:01:22,698 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P41362 2024-05-29 11:01:22,710 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P41362 2024-05-29 11:01:22,722 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P41362 2024-05-29 11:01:22,734 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P41362 2024-05-29 11:01:22,745 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P41362 2024-05-29 11:01:22,757 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P41362 2024-05-29 11:01:22,769 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P41362 2024-05-29 11:01:26,996 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P41362 2024-05-29 11:01:27,011 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P41362 2024-05-29 11:01:27,025 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P41362 2024-05-29 11:01:27,038 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P41362 2024-05-29 11:01:27,051 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P41362 2024-05-29 11:01:27,061 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P41362 2024-05-29 11:01:27,073 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P41362 2024-05-29 11:01:27,086 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P41362 2024-05-29 11:01:27,099 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P41362 2024-05-29 11:01:27,111 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P41362 2024-05-29 11:01:27,123 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P41362 2024-05-29 11:01:27,135 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P41362 2024-05-29 11:01:27,147 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P41362 2024-05-29 11:01:27,158 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P41362 2024-05-29 11:01:27,169 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P41362 2024-05-29 11:01:27,181 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P41362 2024-05-29 11:01:27,192 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P41362 2024-05-29 11:01:27,204 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P41362 2024-05-29 11:01:27,216 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P41362 2024-05-29 11:01:27,228 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P41362 2024-05-29 11:01:27,240 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P41362 2024-05-29 11:01:27,252 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P41362 2024-05-29 11:01:27,263 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P41362 2024-05-29 11:01:27,275 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P41362 2024-05-29 11:01:27,287 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P41362 2024-05-29 11:01:27,299 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P41362 2024-05-29 11:01:27,311 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
