P20458 2024-06-17 17:30:06,899 runWISDEM:run_wisdem:99 INFO:Started
P20458 2024-06-17 17:30:24,646 runWISDEM:run_wisdem:99 INFO:Started
P20458 2024-06-17 17:30:24,943 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P20458 2024-06-17 17:30:24,948 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P20458 2024-06-17 17:30:24,953 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P20458 2024-06-17 17:30:24,957 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P20458 2024-06-17 17:30:24,962 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P20458 2024-06-17 17:30:24,965 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P20458 2024-06-17 17:30:24,969 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P20458 2024-06-17 17:30:24,972 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P20458 2024-06-17 17:30:24,976 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P20458 2024-06-17 17:30:24,979 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P20458 2024-06-17 17:30:24,982 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P20458 2024-06-17 17:30:24,985 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P20458 2024-06-17 17:30:24,987 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P20458 2024-06-17 17:30:24,990 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P20458 2024-06-17 17:30:24,993 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P20458 2024-06-17 17:30:24,996 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P20458 2024-06-17 17:30:24,999 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P20458 2024-06-17 17:30:25,002 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P20458 2024-06-17 17:30:25,004 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P20458 2024-06-17 17:30:25,007 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P20458 2024-06-17 17:30:25,010 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P20458 2024-06-17 17:30:25,013 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P20458 2024-06-17 17:30:25,016 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
